// Tabela das aplica‡”es lineares utilizadas no programa "IFS.PAS".
//
// a        b        c        d        e        f         n§apl
//
  0.50000  0.00000  0.00000  0.50000  0.00000  0.00000    //1
  0.50000  0.00000  0.00000  0.50000  0.50000  0.00000    //2
  0.50000  0.00000  0.00000  0.50000  0.00000  0.50000    //3
  0.50000  0.00000  0.00000  0.50000  0.25000  0.50000    //4
  0.00000 -0.50000  0.50000  0.00000  0.50000  0.00000    //5
  0.00000  0.50000 -0.50000  0.00000  0.50000  0.50000    //6
  0.00000 -0.33333  1.00000  0.00000  0.33333  0.00000    //7
  0.33333  0.00000  0.00000  0.33333  0.33333  0.66667    //8
  0.00000  0.33333  1.00000  0.00000  0.66667  0.00000    //9
  0.33333  0.00000  0.00000  0.33333  0.33333  0.33333    //10
  0.33333  0.00000  0.00000  0.33333  0.00000  0.66667    //11
  0.50000  0.29000  0.29000 -0.50000  0.00000  0.33333    //12
  0.50000 -0.29000 -0.29000 -0.50000  0.50000  0.62333    //13
  0.33333  0.00000  0.00000  0.33333  0.00000  0.00000    //14
  0.33333  0.00000  0.00000  0.33333  0.66667  0.00000    //15
  0.33333  0.00000  0.00000  0.33333  0.66667  0.66667    //16
  0.00000  0.66667 -0.66667  0.00000  0.00000  1.00000    //17
  0.33333  0.00000  0.00000  0.33333  0.33333  0.33333    //18
  0.25500  0.00000  0.00000  0.25500  0.37260  0.67140    //19
  0.25500  0.00000  0.00000  0.25500  0.11460  0.22320    //20
  0.25500  0.00000  0.00000  0.25500  0.63060  0.22320    //21
  0.37000 -0.64200  0.64200  0.37000  0.63560 -0.00610    //22
  0.84900  0.03700 -0.03700  0.84900  0.07500  0.18300    //23
  0.19700 -0.22600  0.22600  0.19700  0.40000  0.04900    //24
 -0.15000  0.28300  0.26000  0.23700  0.57500 -0.08400    //25
  0.00000  0.00000  0.00000  0.16000  0.50000  0.00000    //26
  0.20000  0.00000  0.00000  0.20000  0.70000  0.70000    //27
  0.00000  0.20000  0.20000  0.00000  0.00000  0.00000    //28
  0.38200  0.00000  0.00000  0.38200  0.30720  0.61900    //29
